"FARHAN" "0"
"[POD]Alloc (100)" "0"
"[POD]Murder Inc. (100)" "0"
"[P*D]Funky Byte (100)" "0"
"[POD]V0id (100)" "0"
"[P0D]Botsie Collins (100)" "0"
"[POD]George_Clooney (100)" "0"
"[P0D]Samuel_L_Jackson (100)" "0"
"[P*D]Bridget_Fonda (7)" "0"
"[P*D]Nicole_Kidman (100)" "0"
"[P0D]Kate_Winslet (100)" "0"
"[P0D]Make my Day (100)" "0"
"[P*D]Mickey_Rourke (100)" "0"
"[POD]Bridget_Fonda (100)" "0"
"[P0D]Rodney_Dangerfield (100)" "0"
"[P0D]Jeff_Bridges (100)" "0"
"[P0D]Harvey_Keitel (10)" "0"
"[POD]Quentin_Tarantino (100)" "0"
"[P0D]Chris_Tucker (100)" "0"
"[POD]Botman (100)" "0"
"[POD]Bloodlust (100)" "0"
"[P0D]Matt_Damon (100)" "0"
"[POD]Anthony_Hopkins (100)" "0"
"[P0D]Nicole_Kidman (100)" "0"
"[P*D]Jack_Nicholson (5)" "0"
"[P*D]Killing Frenzy (100)" "0"
"[P*D]S.E.S. (100)" "0"
"[P*D]Jackie_Chan (100)" "0"
"[P*D]Headshot Deluxe (100)" "0"
"[P*D]U're Dead (100)" "0"
"[POD]Nicole_Kidman (100)" "0"
"[POD]Jack_Palance (5)" "0"
"[P0D]Tommy_Lee_Jones (100)" "0"
"[POD]Joe_Pesci (100)" "0"
"[POD]Heather_Locklear (100)" "0"
"[POD]Borg Queen (100)" "0"
"[P*D]Ping of Death (100)" "0"
"[POD]Stacy_Keech (8)" "0"
"[P0D]Pissed Off (100)" "0"
"[P0D]Make me Laugh (100)" "0"
"[P*D]Clint_Eastwood (100)" "0"
"[POD]Dredd (100)" "0"
"[P0D]V0id (100)" "0"
"[POD]Pseudolukian (100)" "0"
"[P*D]Sigourney_Weaver (7)" "0"
"[P0D]Mel_Gibson (100)" "0"
"[POD]L33t B0t (100)" "0"
"[P*D]Alloc (100)" "0"
"[P0D]Tom_Cruise (100)" "0"
"[P0D]Heather_Locklear (7)" "0"
"[P*D]Drew_Barrymore (100)" "0"
"[P0D]Violently Happy (100)" "0"
"[P*D]Jennifer_Anniston (100)" "0"
"[POD]M0rbid Desire (100)" "0"
"[P*D]Thomas Chong (100)" "0"
"[POD]Kim_Basinger (100)" "0"
"[POD]Chris_Tucker (7)" "0"
"[P0D]Berzerk Bot (100)" "0"
"[P0D]Laserdance (100)" "0"
"[POD]Polymorph (100)" "0"
"[P*D]George_Hamilton (100)" "0"
"[P*D]Jennifer_Love_Hewitt (100)" "0"
"[P0D]Clint_Eastwood (100)" "0"
"[P0D]Fuzzy Logic (5)" "0"
"[POD]Kate_Winslet (100)" "0"
"[P*D]Tommy_Lee_Jones (100)" "0"
"[POD]Charlie_Sheen (100)" "0"
"[P*D]Bridget_Fonda (100)" "0"
"[P*D]Dredd (8)" "0"
"[POD]Count Floyd (100)" "0"
"[POD]Dr. No (100)" "0"
"[POD]Larry_Fishbourne (100)" "0"
"[POD]Robert_Redford (100)" "0"
"[P0D]S.E.S. (7)" "0"
"[P0D]Headshot Deluxe (100)" "0"
"[P*D]Bruce_Willis (100)" "0"
"[P0D]Leonardo_DiCaprio (100)" "0"
"[POD]Neural Noise (100)" "0"
"[POD]BotsBlitz (100)" "0"
"[P0D]killaruna (100)" "0"
"[P*D]M0rbid Desire (5)" "0"
"[P0D]Sharon_Stone (100)" "0"
"[P0D]Heather_Locklear (100)" "0"
"[P*D]Sean_Connery (100)" "0"
"[P*D]Anthony_Hopkins (100)" "0"
"[POD]Robert_Redford (10)" "0"
"[P*D]DaTa (100)" "0"
"[P0D]Jack_Nicholson (100)" "0"
"[P0D]Rambotnic (100)" "0"
"[P0D]Kugelfang (100)" "0"
"[P0D]Bruce_Lee (100)" "0"
"[P0D]Kim_Basinger (100)" "0"
"[POD]Arnold_Schwarzenegger (7)" "0"
"[P*D]Robert_Downey_Jr (100)" "0"
"[P*D]Pissed Off (100)" "0"
"[P*D]Harvey_Keitel (100)" "0"
"[POD]Al_Pacino (100)" "0"
"[P*D]Marlon_Brando (100)" "0"
"[P*D]Mel_Gibson (10)" "0"
"[P*D]Fuzzy Logic (100)" "0"
"[P*D]Quentin_Tarantino (100)" "0"
"[POD]Heather_Graham (100)" "0"
"[P*D]Rodney_Dangerfield (100)" "0"
"[P0D]U're Dead (100)" "0"
"[P0D]Chris_Tucker (10)" "0"
"[POD]Chris_Rock (100)" "0"
"[P*D]Juliet_Lewis (100)" "0"
"[POD]Pissed Off (100)" "0"
"[P*D]Kugelfang (100)" "0"
"[POD]Wesley_Snipes (100)" "0"
"[P*D]Dredd (100)" "0"
"[POD]Sean_Connery (6)" "0"
"[POD]Tom_Cruise (100)" "0"
"[P*D]M0rbid Desire (100)" "0"
"[P0D]Arnold_Schwarzenegger (100" "0"
"[POD]Harrison_Ford (100)" "0"
"[POD]Funky Byte (100)" "0"
"[P0D]Marlon_Brando (10)" "0"
"[POD]Botsie Collins (100)" "0"
"[P*D]Sylvester_Stallone (100)" "0"
"[POD]Make my Day (100)" "0"
"[P0D]Ivan (100)" "0"
"[P*D]Will_Smith (100)" "0"
"[P*D]Leonardo_DiCaprio (100)" "0"
"[POD]Jim_Carrey (5)" "0"
"[P*D]Sharon_Stone (100)" "0"
"[P*D]Rambotnic (100)" "0"
"[P0D]Harrison_Ford (100)" "0"
"[P0D]Chris_Rock (100)" "0"
"[POD]Killing Frenzy (100)" "0"
"[P0D]Jennifer_Anniston (8)" "0"
"[P*D]Eliza (100)" "0"
"[P0D]Patrick_Swayze (100)" "0"
"[POD]Robert_Downey_Jr (100)" "0"
"[P*D]Robert_Deniro (100)" "0"
"[POD]Make me Laugh (100)" "0"
"[POD]Funky Byte (8)" "0"
"[P*D]Cheech Marin (100)" "0"
"[P*D]Die Humans (100)" "0"
"[POD]Arnold_Schwarzenegger (100" "0"
"[P*D]Laserdance (100)" "0"
"[P0D]Stacy_Keech (100)" "0"
"[POD]Tom_Cruise (8)" "0"
"[P0D]John_Malkovich (100)" "0"
"[POD]Patrick_Swayze (100)" "0"
"[P*D]Charlie_Sheen (100)" "0"
"[P0D]Andrew_Dice_Clay (100)" "0"
"[P0D]Clint_Eastwood (8)" "0"
"[POD]U're Dead (100)" "0"
